english,santhali
"The formula models entropy. ","ᱯᱷᱚᱨᱢᱩᱞᱟ ᱢᱚᱰᱮᱞ ᱮᱱᱴᱨᱚᱯᱤ ᱾ "
"He muttered, “It’s already begun.” ","ᱩᱱᱤ ᱵᱷᱩᱰᱵᱷᱩᱰ ᱛᱮ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱱᱚᱣᱟ ᱫᱚ ᱞᱟᱦᱟ ᱠᱷᱚᱱ ᱜᱮ ᱮᱦᱚᱵ ᱟᱠᱟᱱᱟ ᱾” "
"We trekked across the salt flats. ","ᱟᱞᱮ ᱥᱚᱞᱴ ᱯᱷᱞᱮᱴ ᱯᱟᱨᱚᱢ ᱠᱟᱛᱮ ᱴᱨᱮᱠ ᱠᱮᱫᱟ ᱞᱮ ᱾ "
"Is your breath even? ","ᱪᱮᱫ ᱟᱢᱟᱜ ᱥᱟᱦᱮᱫ ᱥᱚᱢᱟᱱ ᱜᱮᱭᱟ? "
"Grill the tofu until crisp. ","ᱴᱚᱯᱷᱩ ᱠᱷᱟᱹᱨᱩᱵ ᱦᱟᱹᱵᱤᱡ ᱜᱽᱨᱤᱞ ᱢᱮ ᱾ "
"The door clicked shut. ","ᱫᱩᱣᱟᱹᱨ ᱵᱚᱱᱫᱚ ᱮᱱᱟ ᱾ "
"Did you scan the barcode? ","ᱪᱮᱫ ᱟᱢ ᱵᱟᱨᱠᱚᱰ ᱮᱢ ᱥᱠᱮᱱ ᱟᱠᱟᱫᱟ? "
"The robot traced a glowing rune. ","ᱨᱚᱵᱚᱴ ᱫᱚ ᱢᱤᱫ ᱡᱷᱟᱞᱠᱟᱣᱜ ᱨᱩᱱ ᱮ ᱯᱟᱱᱛᱮ ᱠᱮᱫᱟ᱾ "
"Let’s compile the results. ","ᱫᱮᱞᱟ ᱚᱨᱡᱚ ᱵᱚᱱ ᱛᱷᱟᱯᱱᱟᱣᱟ᱾ "
"They wear masks during the dusk ritual. ","ᱩᱱᱠᱩ ᱥᱤᱛᱩᱝ ᱟᱠᱷᱲᱟ ᱚᱠᱛᱚ ᱨᱮ ᱢᱟᱥᱠ ᱠᱚ ᱦᱚᱨᱚᱜ ᱮᱫᱟ᱾ "
"The storm paused mid-air. ","ᱵᱟᱹᱨᱰᱩ ᱫᱚ ᱦᱚᱭ ᱛᱟᱞᱟ ᱨᱮ ᱛᱷᱤᱨ ᱮᱱᱟ ᱾ "
"She said, “It’s beneath the waves.” ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱱᱚᱣᱟ ᱫᱚ ᱞᱟᱹᱣᱠᱟᱹ ᱞᱟᱛᱟᱨ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾” "
"We floated above the canyon floor. ","ᱟᱞᱮ ᱠᱮᱱᱭᱚᱱ ᱯᱷᱞᱚᱨ ᱪᱮᱛᱟᱱ ᱨᱮ ᱞᱮ ᱞᱟᱹᱣᱠᱟᱹ ᱞᱮᱱᱟ ᱾ "
"Can you feel the breath in your throat? ","ᱪᱮᱫ ᱟᱢ ᱟᱢᱟᱜ ᱱᱟᱹᱰᱨᱤ ᱨᱮ ᱥᱟᱦᱮᱫ ᱮᱢ ᱟᱹᱭᱠᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ? "
"I am going to the market.   ","ᱤᱧ ᱵᱟᱡᱟᱨ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"She needs to buy some vegetables.   ","ᱩᱱᱤ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱤᱨᱤᱧ ᱞᱟᱹᱠᱛᱤᱭᱟᱭ ᱾ "
"He is carrying a shopping bag.   ","ᱩᱱᱤ ᱫᱚ ᱥᱚᱯᱤᱝ ᱵᱮᱜᱽ ᱟᱹᱜᱩ ᱟᱠᱟᱫᱟᱭ ᱾ "
"We are walking to the store.   ","ᱟᱞᱮ ᱫᱚᱠᱟᱱ ᱥᱮᱫ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"I saw fresh fruits on the stall.   ","ᱤᱧ ᱥᱴᱚᱞ ᱨᱮ ᱛᱟᱜᱽᱲᱟ ᱡᱚ ᱠᱚᱧ ᱧᱮᱞ ᱠᱮᱫᱟ᱾ "
"She asked for half a kilo of apples.   ","ᱩᱱᱤ ᱟᱫᱷᱟ ᱠᱤᱞᱚ ᱟᱯᱮᱞ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"He picked the red ones.   ","ᱩᱱᱤ ᱟᱨᱟᱜ ᱠᱚ ᱵᱟᱪᱷᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"We are checking the prices.   ","ᱟᱞᱮ ᱫᱟᱢ ᱠᱚ ᱞᱮ ᱧᱮᱞ ᱵᱤᱰᱟᱹᱣ ᱮᱫᱟ᱾ "
"I said, “These look fresh.”   ","ᱤᱧ ᱢᱮᱱ ᱠᱮᱫᱟ, “ᱱᱚᱶᱟ ᱠᱚ ᱫᱚ ᱛᱟᱜᱽᱲᱟ ᱧᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾” "
"She smiled and nodded.   ","ᱩᱱᱤ ᱞᱟᱱᱫᱟ ᱠᱮᱫᱟᱭ ᱟᱨ ᱢᱩᱞ ᱠᱮᱫᱟᱭ ᱾ "
"He is paying the shopkeeper.   ","ᱩᱱᱤ ᱫᱚ ᱫᱩᱠᱟᱹᱱᱤᱡ ᱯᱩᱭᱥᱟᱹ ᱮᱢᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"We are moving to the next stall.   ","ᱟᱞᱮ ᱫᱚ ᱫᱚᱥᱟᱨ ᱥᱴᱚᱞ ᱞᱮ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ᱾ "
"I saw some tomatoes and onions.   ","ᱤᱧ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱵᱤᱞᱟᱹᱛᱤ ᱟᱨ ᱯᱤᱭᱟᱸᱡᱽ ᱧᱮᱞ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She needs them for cooking.   ","ᱩᱱᱤ ᱫᱚ ᱡᱚᱢᱟᱜ ᱤᱥᱤᱱ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱹᱠᱛᱤᱭᱟᱭ ᱠᱟᱱᱟ ᱾ "
"He is comparing the prices.   ","ᱩᱱᱤ ᱫᱟᱢ ᱠᱚ ᱛᱩᱞᱟᱹ ᱡᱚᱠᱷᱟ ᱮᱫᱟᱭ ᱾ "
"We are talking to the vendor.   ","ᱟᱞᱮ ᱫᱚ ᱟᱹᱠᱷᱨᱤᱧᱤᱡ ᱥᱟᱶ ᱞᱮ ᱨᱚᱯᱚᱲ ᱠᱟᱱᱟ᱾ "
"I asked for some coriander.   ","ᱤᱧ ᱛᱷᱚᱲᱟ ᱜᱟᱱ ᱫᱷᱟᱞᱟ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"She added potatoes to the bag.   ","ᱩᱱᱤ ᱵᱮᱜᱽ ᱨᱮ ᱟᱹᱞᱩ ᱢᱮᱥᱟ ᱠᱮᱫᱟᱭ ᱾ "
"He carried the vegetables.   ","ᱩᱱᱤ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱚ ᱤᱫᱤ ᱠᱮᱫᱟᱭ ᱾ "
"We are walking to the fruit shop.   ","ᱟᱞᱮ ᱡᱚ ᱫᱚᱠᱟᱱ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"I saw a basket of bananas.   ","ᱤᱧ ᱠᱮᱞᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱵᱟᱥᱠᱮᱴ ᱧᱮᱞ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She said they look ripe.   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ ᱩᱱᱠᱩ ᱯᱟᱠᱟ ᱠᱚ ᱧᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"He bought a dozen of them.   ","ᱩᱱᱤ ᱚᱱᱟ ᱠᱷᱚᱱ ᱢᱤᱫ ᱰᱚᱡᱮᱱ ᱠᱤᱨᱤᱧ ᱠᱮᱫᱟᱭ ᱾ "
"We are heading toward the grocery store.   ","ᱟᱞᱮ ᱫᱚ ᱥᱟᱣᱨᱟ ᱫᱚᱠᱟᱱ ᱥᱮᱫ ᱞᱮ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ᱾ "
"I need some rice and flour.   ","ᱤᱧ ᱛᱷᱚᱲᱟ ᱫᱟᱠᱟ ᱟᱨ ᱟᱴᱟ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ ᱾ "
"She picked a packet of sugar.   ","ᱩᱱᱤ ᱪᱤᱱᱤ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱯᱮᱠᱮᱴ ᱵᱟᱪᱷᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"He took some tea powder.   ","ᱩᱱᱤ ᱛᱷᱚᱲᱟ ᱪᱟ ᱯᱟᱹᱣᱰᱟᱨ ᱦᱟᱛᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"We are filling our basket.   ","ᱟᱞᱮ ᱟᱞᱮᱭᱟᱜ ᱵᱟᱥᱠᱮᱴ ᱞᱮ ᱯᱮᱨᱮᱡ ᱮᱫᱟ᱾ "
"I checked the expiry dates.   ","ᱤᱧ ᱢᱩᱪᱟᱹᱫ ᱢᱟᱹᱦᱤᱛ ᱠᱚ ᱧᱮᱞ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She said everything looks fine.   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ ᱡᱷᱚᱛᱚ ᱴᱷᱤᱠ ᱜᱮ ᱧᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"He is adding a bottle of oil.   ","ᱩᱱᱤ ᱫᱚ ᱥᱩᱱᱩᱢ ᱨᱮᱭᱟᱜ ᱵᱚᱛᱚᱞ ᱮ ᱢᱮᱥᱟ ᱮᱫᱟ᱾ "
"We are standing in the billing line.   ","ᱟᱞᱮ ᱵᱤᱞᱤᱝ ᱞᱟᱭᱤᱱ ᱨᱮ ᱞᱮ ᱛᱤᱸᱜᱩ ᱟᱠᱟᱱᱟ ᱾ "
"I placed the items on the counter.   ","ᱤᱧ ᱡᱤᱱᱤᱥ ᱠᱚ ᱠᱟᱣᱩᱱᱴᱟᱨ ᱨᱮ ᱫᱚᱦᱚ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She handed the card to the cashier.   ","ᱩᱱᱤ ᱠᱮᱥᱤᱭᱟᱨ ᱴᱷᱮᱱ ᱠᱟᱨᱰ ᱮ ᱮᱢ ᱠᱮᱫᱮᱭᱟ ᱾ "
"He packed everything neatly.   ","ᱩᱱᱤ ᱡᱷᱚᱛᱚ ᱥᱟᱯᱷᱟ ᱥᱟᱯᱷᱟ ᱛᱮ ᱯᱮᱠ ᱠᱮᱫᱟᱭ ᱾ "
"We are carrying the bags together.   ","ᱟᱞᱮ ᱵᱮᱜᱽ ᱠᱚ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱞᱮ ᱟᱹᱜᱩ ᱮᱫᱟ᱾ "
"I said, “This shop is always clean.”   ","ᱤᱧ ᱢᱮᱱ ᱠᱮᱫᱟ, “ᱱᱚᱣᱟ ᱫᱚᱠᱟᱱ ᱫᱚ ᱥᱟᱨᱟ ᱜᱷᱟᱹᱲᱤᱡ ᱥᱟᱯᱷᱟ ᱜᱮᱭᱟ ᱾” "
"She agreed and smiled.   ","ᱩᱱᱤ ᱦᱮᱡ ᱮᱱᱟᱭ ᱟᱨ ᱞᱟᱱᱫᱟ ᱠᱮᱫᱟᱭ ᱾ "
"He said the staff is helpful.   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚ ᱜᱚᱲᱚᱣᱟᱱ ᱜᱮᱭᱟ ᱠᱚ᱾ "
"We are walking toward the bakery.   ","ᱟᱞᱮ ᱵᱮᱠᱟᱨᱤ ᱥᱮᱫ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾"
"I can smell fresh bread.   ","ᱤᱧ ᱛᱟᱜᱽᱲᱟ ᱯᱤᱴᱷᱟᱹ ᱥᱚ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"She said, “Let’s buy some.”   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱫᱮᱞᱟ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱠᱤᱨᱤᱧ ᱞᱮᱜᱮ᱾” "
"He chose chocolate muffins.   ","ᱩᱱᱤ ᱪᱚᱠᱞᱮᱴ ᱢᱩᱯᱷᱤᱱ ᱵᱟᱪᱷᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"We are ordering a small cake.   ","ᱟᱞᱮ ᱢᱤᱫ ᱦᱩᱰᱤᱧ ᱠᱮᱠ ᱞᱮ ᱚᱰᱟᱨ ᱮᱫᱟ᱾ "
"I asked the baker about the price.   ","ᱤᱧ ᱫᱟᱢ ᱵᱟᱨᱮᱛᱮ ᱵᱮᱠᱟᱨ ᱠᱩᱞᱤ ᱠᱮᱫᱮᱭᱟᱹᱧ ᱾ "
"She said it’s affordable.   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ ᱱᱚᱣᱟ ᱫᱚ ᱥᱚᱨᱯᱷᱟ ᱜᱮᱭᱟ ᱾ "
"He paid in cash.   ","ᱩᱱᱤ ᱴᱟᱠᱟ ᱛᱮ ᱯᱩᱭᱥᱟᱹ ᱮᱢ ᱠᱮᱫᱟᱭ ᱾ "
"We are waiting for our order.   ","ᱟᱞᱮ ᱟᱞᱮᱭᱟᱜ ᱚᱰᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱞᱮ ᱛᱟᱺᱜᱤ ᱟᱠᱟᱫᱟ᱾ "
"I watched the baker decorate the cake.   ","ᱤᱧ ᱵᱮᱠᱟᱨ ᱠᱮᱠ ᱥᱟᱡᱟᱣ ᱧᱮᱞ ᱞᱮᱫᱮᱭᱟᱹᱧ ᱾ "
"She said it looks lovely.   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ ᱱᱚᱣᱟ ᱫᱚ ᱟᱹᱰᱤ ᱪᱮᱦᱨᱟ ᱧᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"He took a photo of it.   ","ᱩᱱᱤ ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱦᱟᱛᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"We are taking the cake home.   ","ᱟᱞᱮ ᱠᱮᱠ ᱚᱲᱟᱜ ᱞᱮ ᱤᱫᱤ ᱮᱫᱟ᱾ "
"I stopped to buy some milk.   ","ᱤᱧ ᱛᱚᱣᱟ ᱠᱤᱨᱤᱧ ᱞᱟᱹᱜᱤᱫ ᱛᱤᱸᱜᱩ ᱮᱱᱟᱹᱧ ᱾ "
"She picked the smaller carton.   ","ᱩᱱᱤ ᱠᱟᱹᱴᱤᱡ ᱠᱟᱨᱴᱚᱱ ᱵᱟᱪᱷᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"He checked the date carefully.   ","ᱩᱱᱤ ᱢᱟᱹᱦᱤᱛ ᱵᱮᱥ ᱛᱮ ᱧᱮᱞ ᱠᱮᱫᱟᱭ ᱾ "
"We are almost done shopping.   ","ᱟᱞᱮ ᱫᱚ ᱥᱚᱯᱤᱝ ᱞᱮ ᱪᱟᱵᱟ ᱠᱮᱫᱟ᱾ "
"I said, “We got everything we need.”   ","ᱤᱧ ᱢᱮᱱ ᱠᱮᱫᱟ, “ᱟᱞᱮ ᱡᱟᱦᱟᱸ ᱞᱟᱹᱠᱛᱤᱜ ᱠᱟᱱᱟ ᱚᱱᱟ ᱥᱟᱱᱟᱢ ᱞᱮ ᱧᱟᱢ ᱠᱮᱫᱟ ᱾” "
"She counted the bags.   ","ᱩᱱᱤ ᱵᱮᱜᱽ ᱠᱚᱭ ᱞᱮᱠᱷᱟ ᱠᱮᱫᱟ᱾ "
"He said, “Yes, let’s go home.”   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱦᱮᱸ, ᱫᱮᱞᱟ ᱚᱲᱟᱜ ᱵᱚᱱ ᱪᱟᱞᱟᱜᱼᱟ ᱾” "
"We are walking back slowly.   ","ᱟᱞᱮ ᱵᱟᱹᱭ ᱵᱟᱹᱭ ᱛᱮ ᱨᱩᱣᱟᱹᱲᱚᱜ ᱠᱟᱱᱟ ᱞᱮ ᱾ "
"I saw children playing nearby.   ","ᱤᱧ ᱥᱩᱨ ᱨᱮ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱚ ᱧᱮᱞ ᱠᱮᱫ ᱠᱚᱣᱟᱹᱧ ᱾ "
"She waved at them.   ","ᱩᱱᱤ ᱩᱱᱠᱩ ᱥᱮᱫ ᱦᱟᱦᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"He smiled and said, “Reminds me of us.”   ","ᱩᱱᱤ ᱞᱟᱱᱫᱟ ᱠᱟᱛᱮ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱟᱵᱚ ᱫᱤᱥᱟᱹ ᱚᱪᱚ ᱟᱹᱧᱟᱭ ᱾” "
"We are crossing the road carefully.   ","ᱟᱞᱮ ᱫᱚ ᱥᱚᱱᱛᱚᱨ ᱛᱮ ᱦᱚᱨ ᱞᱮ ᱯᱟᱨᱚᱢ ᱮᱫᱟ᱾ "
"I said, “The weather is nice today.”   ","ᱤᱧ ᱢᱮᱱ ᱠᱮᱫᱟ, “ᱛᱮᱦᱮᱧ ᱦᱚᱭ ᱦᱤᱥᱤᱫ ᱵᱮᱥ ᱜᱮᱭᱟ ᱾” "
"She replied, “It’s perfect for shopping.”   ","ᱩᱱᱤ ᱛᱮᱞᱟ ᱮᱢ ᱠᱮᱫᱟᱭ, “ᱱᱚᱣᱟ ᱫᱚ ᱥᱚᱯᱤᱝ ᱞᱟᱹᱜᱤᱫ ᱫᱚ ᱮᱠᱫᱚᱢ ᱴᱷᱤᱠ ᱜᱮᱭᱟ ᱾” "
"He laughed and nodded.   ","ᱩᱱᱤ ᱞᱟᱱᱫᱟ ᱠᱮᱫᱟᱭ ᱟᱨ ᱢᱩᱞ ᱠᱮᱫᱟᱭ ᱾ "
"We are passing a flower shop.   ","ᱟᱞᱮ ᱢᱤᱫ ᱵᱟᱦᱟ ᱫᱚᱠᱟᱱ ᱞᱮ ᱯᱟᱨᱚᱢ ᱮᱫᱟ᱾ "
"I stopped to look at the roses.   ","ᱤᱧ ᱜᱩᱞᱟᱯ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱛᱤᱸᱜᱩ ᱮᱱᱟᱹᱧ ᱾ "
"She said they smell wonderful.   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ ᱩᱱᱠᱩ ᱟᱹᱰᱤ ᱵᱮᱥ ᱠᱚ ᱥᱚᱝ ᱮᱫᱟ᱾ "
"He bought a small bouquet.   ","ᱩᱱᱤ ᱢᱤᱫ ᱦᱩᱰᱤᱧ ᱵᱩᱠᱩᱞ ᱠᱤᱨᱤᱧ ᱠᱮᱫᱟᱭ ᱾ "
"We are carrying it home happily.   ","ᱟᱞᱮ ᱱᱚᱣᱟ ᱨᱟᱹᱥᱠᱟᱹ ᱛᱮ ᱚᱲᱟᱜ ᱞᱮ ᱤᱫᱤ ᱮᱫᱟ᱾ "
"I said, “It will look nice on the table.”   ","ᱤᱧ ᱢᱮᱱ ᱠᱮᱫᱟ, “ᱱᱚᱣᱟ ᱴᱮᱵᱩᱞ ᱨᱮ ᱪᱮᱦᱨᱟ ᱧᱮᱞᱚᱜᱼᱟ ᱾” "
"She placed it in a vase.   ","ᱩᱱᱤ ᱱᱚᱣᱟ ᱢᱤᱫ ᱵᱟᱦᱟ ᱨᱮ ᱫᱚᱦᱚ ᱠᱮᱫᱟᱭ ᱾ "
"He poured water into it.   ","ᱩᱱᱤ ᱱᱚᱣᱟ ᱨᱮ ᱫᱟᱜ ᱮ ᱪᱟᱯ ᱠᱮᱫᱟ᱾ "
"We are arranging the groceries.   ","ᱟᱞᱮ ᱫᱚ ᱥᱟᱣᱫᱟ ᱡᱤᱱᱤᱥ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"I put the vegetables in the fridge.   ","ᱤᱧ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱚ ᱯᱷᱨᱤᱡᱽ ᱨᱮ ᱫᱚᱦᱚ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She stored the rice and flour.   ","ᱩᱱᱤ ᱫᱟᱠᱟ ᱟᱨ ᱟᱴᱟ ᱫᱚᱦᱚ ᱠᱮᱫᱟᱭ ᱾ "
"He placed the snacks on the shelf.   ","ᱩᱱᱤ ᱥᱮᱞᱯᱷ ᱨᱮ ᱥᱱᱮᱠᱥ ᱫᱚᱦᱚ ᱠᱮᱫᱟᱭ ᱾ "
"We are done with the work.   ","ᱟᱞᱮ ᱠᱟᱹᱢᱤ ᱥᱟᱶ ᱞᱮ ᱢᱩᱪᱟᱹᱫ ᱮᱱᱟ ᱾ "
"I sat down to rest.   ","ᱤᱧ ᱡᱤᱨᱟᱹᱣ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱫᱩᱲᱩᱵ ᱮᱱᱟ ᱾ "
"She brought some cold juice.   ","ᱩᱱᱤ ᱛᱷᱚᱲᱟ ᱜᱟᱱ ᱨᱮᱭᱟᱲ ᱨᱚᱥ ᱟᱹᱜᱩ ᱠᱮᱫᱟᱭ ᱾ "
"He turned on the fan.   ","ᱩᱱᱤ ᱯᱷᱮᱱ ᱪᱟᱹᱞᱩ ᱠᱮᱫᱟᱭ ᱾ "
"We are talking about the shopping trip.   ","ᱟᱞᱮ ᱫᱚ ᱥᱚᱯᱤᱝ ᱴᱨᱤᱯ ᱵᱟᱨᱮᱛᱮ ᱞᱮ ᱠᱟᱛᱷᱟᱜ ᱠᱟᱱᱟ᱾ "
"I said it was fun.   ","ᱤᱧ ᱢᱮᱱ ᱠᱮᱫᱟ ᱱᱚᱣᱟ ᱫᱚ ᱨᱟᱹᱥᱠᱟᱹ ᱜᱮᱭᱟ ᱾ "
"She smiled and said, “We should do it again.”   ","ᱩᱱᱤ ᱞᱟᱱᱫᱟ ᱠᱟᱛᱮ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱟᱵᱚ ᱱᱚᱣᱟ ᱫᱚᱦᱲᱟ ᱠᱚᱨᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱟᱵᱚᱱᱟ ᱾” "
"He agreed with a grin.   ","ᱩᱱᱤ ᱢᱤᱫ ᱞᱟᱱᱫᱟ ᱥᱟᱶ ᱦᱮᱸ ᱥᱮᱱ ᱮᱱᱟᱭ ᱾ "
"We are laughing together.   ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱞᱮ ᱞᱟᱱᱫᱟᱭᱮᱫᱟ᱾ "
"I checked the list once more.   ","ᱤᱧ ᱟᱨ ᱢᱤᱫ ᱫᱷᱟᱣ ᱛᱟᱞᱠᱟ ᱧᱮᱞ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She said, “We didn’t miss anything.”   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱟᱞᱮ ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱞᱮ ᱦᱤᱲᱤᱧ ᱟᱠᱟᱫᱟ ᱾” "
"He added, “That’s a first!”   ","ᱩᱱᱤ ᱟᱨᱦᱚᱸ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱚᱱᱟ ᱫᱚ ᱯᱩᱭᱞᱩ ᱠᱟᱱᱟ!” "
"We are relaxing after shopping.   ","ᱟᱞᱮ ᱫᱚ ᱥᱚᱯᱤᱝ ᱛᱟᱭᱚᱢ ᱡᱤᱨᱟᱹᱣ ᱠᱟᱱᱟ ᱞᱮ ᱾ "
"I turned on some soft music.   ","ᱤᱧ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱞᱟᱵᱤᱫ ᱥᱮᱨᱮᱧ ᱪᱟᱹᱞᱩ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She closed her eyes and listened.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱢᱮᱫ ᱡᱟᱹᱯᱤᱫ ᱠᱮᱫᱟᱭ ᱟᱨ ᱟᱸᱡᱚᱢ ᱠᱮᱫᱟᱭ ᱾ "
"He said, “This feels nice.”   ","ᱩᱱᱤ ᱢᱮᱱ ᱠᱮᱫᱟᱭ, “ᱱᱚᱣᱟ ᱫᱚ ᱵᱮᱥ ᱜᱮ ᱟᱹᱭᱠᱟᱹᱣᱚᱜ ᱠᱟᱱᱟ ᱾” "
"We are enjoying the peaceful evening.   ","ᱟᱞᱮ ᱫᱚ ᱱᱤᱨᱟᱯᱚᱛ ᱥᱤᱸᱜᱟᱹᱲ ᱨᱮᱭᱟᱜ ᱨᱟᱹᱥᱠᱟᱹ ᱞᱮ ᱦᱟᱛᱟᱣ ᱮᱫᱟ᱾ "
"We are planning a trip.   ","ᱟᱞᱮ ᱫᱟᱬᱟᱱ ᱞᱮ ᱯᱞᱟᱱ ᱮᱫᱟ᱾ "
"I checked the travel dates.   ","ᱤᱧ ᱫᱟᱬᱟᱱ ᱢᱟᱹᱦᱤᱛ ᱠᱚ ᱧᱮᱞ ᱠᱮᱫᱟᱹᱧ ᱾ "
"She booked the train tickets.   ","ᱩᱱᱤ ᱴᱨᱮᱱ ᱨᱮᱭᱟᱜ ᱴᱤᱠᱤᱴ ᱵᱩᱠ ᱠᱮᱫᱟᱭ ᱾ "
"He packed his backpack.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱵᱮᱠᱯᱮᱠ ᱯᱮᱠ ᱠᱮᱫᱟᱭ ᱾ "
"We are getting ready to leave.   ","ᱟᱞᱮ ᱵᱟᱹᱜᱤ ᱞᱟᱹᱜᱤᱫ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱠᱟᱱᱟ᱾ "
"I said, “Don’t forget your charger.”   ","ᱤᱧ ᱢᱮᱱ ᱠᱮᱫᱟ, “ᱟᱢᱟᱜ ᱪᱟᱨᱡᱟᱨ ᱟᱞᱚᱢ ᱦᱤᱲᱤᱧᱟ ᱾” "
"She smiled and nodded.   ","ᱩᱱᱤ ᱞᱟᱱᱫᱟ ᱠᱮᱫᱟᱭ ᱟᱨ ᱢᱩᱞ ᱠᱮᱫᱟᱭ ᱾ "
"He put snacks in the bag.   ","ᱩᱱᱤ ᱵᱮᱜᱽ ᱨᱮ ᱥᱱᱮᱠᱥ ᱫᱚᱦᱚ ᱠᱮᱫᱟᱭ ᱾ "
"We are leaving early in the morning.   ","ᱟᱞᱮ ᱥᱮᱛᱟᱜ ᱞᱚᱜᱚᱱ ᱞᱮ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ᱾ "
